months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,days_since_policy,unknown_property_damage,unknown_collision_type,unknown_police_report_but_severe_damage,high_claim_without_witnesses,multi_vehicles_no_injury,no_police_report_but_severe_damage,zip_prefix,auto_make_model
73,26,IL,250/500,2000,1191.19,4000000,MALE,MD,farming-fishing,basketball,not-in-family,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,9,3,,0,1,YES,40160,5020,0,35140,2003,0,4332,1,0,0,0,1,0,468,Chevrolet_Tahoe
285,44,IL,500/1000,1000,1594.45,0,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,17,2,YES,2,3,NO,55680,6960,6960,41760,2006,0,215,0,0,0,0,0,1,452,Saab_95
196,36,IN,250/500,2000,1463.07,0,MALE,MD,armed-forces,skydiving,own-child,0,0,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,3,1,,1,1,NO,5300,530,530,4240,2001,1,6948,1,1,0,0,0,0,615,Jeep_Grand Cherokee
223,43,OH,250/500,500,1734.09,0,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,Parked Car,,Trivial Damage,UNKNOWN,WV,Arlington,6,1,YES,0,3,,5200,650,650,3900,2006,0,4651,0,1,0,0,0,0,451,Accura_MDX
328,48,IL,250/500,500,1411.43,0,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,17,1,YES,2,1,NO,59400,5940,11880,41580,2014,0,3324,0,0,0,0,0,1,464,Honda_Civic
285,43,OH,100/300,2000,1512.58,0,FEMALE,College,sales,paintball,other-relative,47600,0,Vehicle Theft,,Minor Damage,Police,SC,Arlington,7,1,,1,1,,2520,280,280,1960,1997,0,7372,1,1,0,0,0,0,452,BMW_3 Series
30,31,IL,250/500,2000,1153.35,0,MALE,PhD,craft-repair,golf,not-in-family,0,0,Vehicle Theft,,Trivial Damage,Police,NY,Hillsdale,9,1,NO,2,1,YES,5760,960,960,3840,2011,0,975,0,1,0,0,0,0,430,Suburu_Impreza
342,49,OH,250/500,500,1722.95,0,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,3,1,,2,0,YES,76700,7670,7670,61360,2006,0,6171,1,0,0,0,0,0,472,Suburu_Legacy
219,39,IN,250/500,2000,1281.07,7000000,FEMALE,High School,protective-serv,board-games,unmarried,0,0,Parked Car,,Trivial Damage,Police,NY,Springfield,6,1,NO,0,2,NO,5920,740,740,4440,2015,0,2825,0,1,0,0,0,0,608,Chevrolet_Malibu
468,62,IL,100/300,500,1011.92,0,MALE,PhD,machine-op-inspct,paintball,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,7,3,YES,0,3,,64350,7150,7150,50050,2009,0,5343,0,0,1,0,1,0,468,Chevrolet_Tahoe
241,39,IL,250/500,2000,1042.26,0,MALE,JD,sales,kayaking,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,21,3,NO,1,2,,19080,4240,2120,12720,1995,0,6815,0,0,1,0,0,0,464,Saab_93
223,43,OH,500/1000,500,1235.1,0,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,14,1,NO,2,1,NO,54400,5440,5440,43520,2011,0,2103,0,0,0,0,0,0,466,BMW_M5
128,32,OH,100/300,2000,768.91,0,FEMALE,College,sales,chess,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,0,1,,1,0,NO,59800,5980,5980,47840,1999,1,4981,1,0,0,0,0,1,443,Ford_F150
124,29,OH,500/1000,500,1301.72,0,MALE,Masters,handlers-cleaners,golf,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,14,3,,0,3,YES,72000,7200,7200,57600,2005,0,7828,1,0,0,0,1,0,441,Audi_A3
343,48,IN,250/500,500,1451.54,3000000,MALE,JD,adm-clerical,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,13,4,NO,2,3,NO,65070,7230,14460,43380,2003,0,1892,0,0,0,0,0,1,473,Mercedes_C300
404,53,IN,250/500,500,767.14,0,MALE,Associate,sales,reading,not-in-family,25500,-36700,Parked Car,,Trivial Damage,Police,WV,Columbus,8,1,NO,0,1,NO,8800,1760,880,6160,2002,0,35,0,1,0,0,0,0,466,Suburu_Legacy
63,24,OH,250/500,2000,1620.89,0,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,Vehicle Theft,,Minor Damage,Police,NC,Hillsdale,7,1,NO,2,0,NO,6120,1020,1020,4080,2015,0,7696,0,1,0,0,0,0,469,Toyota_Corolla
210,37,IN,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,Vehicle Theft,,Trivial Damage,UNKNOWN,OH,Columbus,9,1,,1,2,,7080,1180,590,5310,1999,0,3075,1,1,0,0,0,0,466,Dodge_RAM
335,50,OH,100/300,1000,1538.26,6000000,MALE,High School,sales,yachting,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,12,3,YES,2,3,YES,34320,8580,4290,21450,2009,0,2908,0,0,0,0,0,0,615,Volkswagen_Passat
11,40,OH,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,reading,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,6,3,,1,0,,53460,9720,9720,34020,2004,1,5040,1,0,1,0,0,0,440,Dodge_Neon
142,33,IN,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,11,1,YES,1,3,,81360,6780,13560,61020,2009,1,7278,0,0,1,0,0,0,450,Suburu_Legacy
272,43,OH,100/300,1000,1279.13,0,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,5,3,,1,2,YES,81070,7370,14740,58960,2006,1,7136,1,0,0,0,0,0,615,Audi_A3
69,26,IL,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,14,1,NO,2,2,NO,63120,5260,10520,47340,2008,0,3211,0,0,0,0,0,0,437,Audi_A5
38,28,OH,250/500,1000,1019.44,0,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,Vehicle Theft,,Trivial Damage,UNKNOWN,NC,Springfield,17,1,,2,1,NO,7200,1440,720,5040,2004,0,7259,1,1,0,0,0,0,437,BMW_X5
328,46,IL,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,0,1,,2,3,,70290,12780,6390,51120,1998,1,6823,1,0,1,0,0,0,458,Saab_92x
281,43,OH,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,camping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,21,3,NO,1,0,NO,60190,9260,9260,41670,1999,0,7877,0,0,0,0,0,0,443,BMW_X6
246,44,OH,250/500,2000,1649.18,0,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,18,1,YES,1,2,YES,61380,11160,5580,44640,2009,1,4974,0,0,0,0,0,0,613,Honda_Civic
298,49,OH,250/500,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,17,1,NO,2,2,NO,28100,2810,5620,19670,2012,0,2282,0,0,0,0,0,0,460,Jeep_Grand Cherokee
330,50,IL,500/1000,1000,978.46,0,FEMALE,High School,sales,yachting,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,19,1,YES,0,0,NO,49060,8920,8920,31220,1995,0,4421,0,0,0,0,0,1,431,Chevrolet_Silverado
362,50,IL,250/500,500,1198.34,4000000,MALE,Associate,sales,board-games,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,17,3,,1,1,NO,57060,6340,6340,44380,1995,0,3293,1,0,0,0,0,1,619,Mercedes_E400
241,38,IN,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,23,3,,0,3,YES,77880,12980,12980,51920,2008,0,9009,1,0,0,0,1,0,470,Accura_MDX
245,41,IN,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,4,1,YES,0,1,YES,73500,7350,14700,51450,1999,0,520,0,0,0,0,0,0,620,Jeep_Wrangler
371,52,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,2,2,YES,2,0,,88920,6840,13680,68400,2010,0,6342,0,0,0,1,0,0,449,Accura_RSX
343,52,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,2,1,,0,2,NO,47630,12990,4330,30310,2005,1,4774,1,0,0,0,0,1,602,Toyota_Corolla
377,53,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,10,3,YES,1,3,NO,59040,6560,6560,45920,2015,0,6742,0,0,0,0,0,1,452,Saab_93
154,37,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,2,1,,0,3,NO,79530,14460,7230,57840,2000,0,1807,1,0,0,0,0,0,439,Accura_MDX
166,34,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,18,1,NO,0,2,YES,53680,4880,4880,43920,2005,0,129,0,0,0,0,0,0,617,Honda_CRV
298,46,OH,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,18,1,NO,2,3,YES,33550,3050,6100,24400,2005,0,2847,0,0,0,0,0,0,477,Volkswagen_Passat
235,42,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,7,4,,2,1,YES,69100,6910,6910,55280,2006,0,8915,1,0,0,0,0,0,444,Toyota_Highlander
172,35,IL,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,19,3,,2,0,NO,79750,14500,14500,50750,1999,0,3766,1,0,0,0,0,1,456,Nissan_Pathfinder
27,28,IN,100/300,2000,1371.78,0,MALE,JD,farming-fishing,polo,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,10,3,,0,2,YES,53600,5360,10720,37520,2015,1,7100,1,0,0,0,1,0,451,Audi_A5
428,54,IN,100/300,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,16,3,NO,1,0,,76560,12760,6380,57420,2009,0,4005,0,0,0,0,0,0,453,Nissan_Ultima
99,32,IN,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,golf,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,17,1,YES,1,1,NO,41130,4570,4570,31990,1999,0,171,0,0,0,0,0,1,618,Dodge_RAM
107,26,IL,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,2,3,NO,2,3,NO,78650,14300,7150,57200,1996,1,6504,0,0,0,0,0,1,612,Audi_A3
272,41,OH,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,,1,1,,71060,6460,12920,51680,2010,0,8687,1,0,1,0,0,0,466,Saab_92x
151,37,IN,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,0,1,YES,1,1,,38830,3530,3530,31770,1999,0,8220,0,0,0,0,0,0,617,Suburu_Legacy
249,43,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,16,1,,0,0,YES,53500,5350,5350,42800,2015,0,510,1,0,0,0,0,0,606,Saab_92x
177,38,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,20,1,YES,2,0,NO,73700,7370,7370,58960,2001,1,1123,0,0,0,0,0,1,463,Chevrolet_Silverado
190,40,OH,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,Parked Car,,Trivial Damage,UNKNOWN,SC,Hillsdale,10,1,,2,1,YES,6300,630,630,5040,2001,0,2928,1,1,0,0,0,0,610,Nissan_Ultima
174,36,IL,100/300,2000,1278.75,0,FEMALE,College,tech-support,paintball,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,21,3,,2,2,NO,65400,10900,10900,43600,2012,0,3402,1,0,0,0,0,1,461,Dodge_RAM
95,28,OH,250/500,1000,773.99,0,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,Vehicle Theft,,Trivial Damage,UNKNOWN,PA,Springfield,3,1,YES,1,2,NO,3200,640,320,2240,2014,0,8825,0,1,0,0,0,0,458,Mercedes_E400
371,51,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,7,1,YES,0,3,YES,75400,7540,15080,52780,2012,1,3383,0,0,0,0,0,0,452,Dodge_RAM
2,28,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,19,1,YES,0,2,YES,58140,6460,6460,45220,2008,0,5719,0,0,0,0,0,0,433,Saab_92x
269,44,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,chess,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,15,3,,0,1,,98670,15180,15180,68310,2010,1,4425,1,0,1,0,1,0,451,Chevrolet_Tahoe
101,27,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,Parked Car,,Minor Damage,UNKNOWN,SC,Hillsdale,7,1,,0,3,NO,5900,1180,590,4130,2009,0,2883,1,1,0,0,0,0,603,Mercedes_E400
94,30,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,19,1,,1,3,YES,64100,6410,6410,51280,2001,0,4739,1,0,0,0,0,0,442,Chevrolet_Malibu
117,28,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,13,2,YES,0,1,,55440,5040,10080,40320,2009,1,4308,0,0,1,0,0,0,447,Suburu_Forrestor
111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,80850,7350,14700,58800,2011,1,4541,0,0,0,0,0,1,441,Ford_F150
242,40,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,5,1,YES,1,1,NO,7480,680,680,6120,1998,0,6195,0,1,0,0,0,0,468,Saab_95
440,61,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,movies,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,21,1,,2,3,NO,53640,5960,5960,41720,2004,1,8182,1,0,0,0,0,1,467,Nissan_Maxima
20,23,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,base-jumping,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,21,3,NO,2,2,NO,63250,5750,11500,46000,2002,1,5736,0,0,0,0,0,1,463,Chevrolet_Tahoe
461,57,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,7,3,NO,0,1,,59040,9840,9840,39360,1995,0,6235,0,0,1,0,1,0,615,Dodge_RAM
208,36,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,16,3,YES,1,0,YES,50500,10100,5050,35350,2004,0,5362,0,0,0,0,0,0,432,Accura_TL
279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,57690,6410,12820,38460,2010,1,7208,0,0,0,0,0,1,463,Mercedes_C300
244,40,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,husband,0,0,Vehicle Theft,,Trivial Damage,Police,NY,Springfield,2,1,YES,1,3,YES,5940,660,660,4620,2014,0,3153,0,1,0,0,0,0,439,Toyota_Camry
134,30,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,19,3,,0,2,YES,47790,5310,5310,37170,1995,1,2658,1,0,0,0,1,0,613,Suburu_Impreza
122,29,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,Parked Car,,Trivial Damage,UNKNOWN,SC,Riverwood,17,1,,0,1,NO,3850,350,350,3150,2014,0,8474,1,1,0,0,0,0,620,Dodge_Neon
156,31,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,,2,0,,59000,5900,5900,47200,2013,1,6713,1,0,1,0,0,0,446,Ford_Fusion
232,43,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,,70600,7060,14120,49420,2013,1,4995,0,0,1,0,1,0,431,Volkswagen_Passat
244,40,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,,1,1,,61490,5590,11180,44720,2001,0,5631,1,0,0,0,0,0,605,Dodge_RAM
84,30,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,57640,5240,10480,41920,2010,0,4246,0,0,0,0,0,0,457,Volkswagen_Passat
394,57,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,own-child,51500,0,Vehicle Theft,,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,6890,1060,1060,4770,1999,0,5780,0,1,0,0,0,0,619,Audi_A5
246,45,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,,2,2,,53280,11840,5920,35520,2006,1,5839,1,0,1,0,0,0,445,Toyota_Camry
35,29,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,,78300,15660,7830,54810,2009,0,1279,0,0,0,0,1,0,475,BMW_X5
156,37,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,41490,4610,4610,32270,2001,0,1651,0,0,0,0,1,1,606,Nissan_Pathfinder
195,36,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,68970,12540,6270,50160,2007,0,4859,0,0,0,0,0,0,611,Chevrolet_Tahoe
369,55,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,,2,0,YES,85300,17060,8530,59710,2003,0,652,1,0,0,1,0,0,444,Toyota_Highlander
271,40,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,wife,71200,0,Parked Car,,Minor Damage,UNKNOWN,NY,Hillsdale,6,1,NO,0,0,NO,3080,560,280,2240,2012,0,7014,0,1,0,0,0,0,433,Audi_A3
332,47,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,,71760,11040,11040,49680,2010,1,8492,0,0,1,0,0,0,448,Jeep_Grand Cherokee
107,26,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,,1,0,NO,59700,11940,11940,35820,2002,0,244,1,0,0,0,0,0,466,Nissan_Ultima
217,39,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,,64920,10820,10820,43280,1997,0,8336,0,0,0,0,1,0,605,Ford_Fusion
243,43,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,,0,1,NO,37530,4170,4170,29190,2008,0,3281,1,0,0,0,1,1,466,Jeep_Wrangler
296,42,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,64080,7120,7120,49840,2012,0,4355,0,0,0,0,0,1,466,Saab_93
264,41,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,,60390,10980,5490,43920,2004,1,4498,0,0,0,0,0,0,474,BMW_M5
108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,,0,1,YES,64350,5850,11700,46800,2011,1,9124,1,0,0,0,1,0,450,Nissan_Pathfinder
32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,70900,14180,7090,49630,1997,0,1793,0,0,0,0,0,0,478,BMW_X6
259,39,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,,46560,7760,7760,31040,2012,0,7067,0,0,0,0,0,0,604,Nissan_Ultima
186,33,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,,4730,860,860,3010,2013,1,1782,0,1,0,0,0,0,469,Chevrolet_Malibu
201,40,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,Vehicle Theft,,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,6820,1240,1240,4340,2003,0,8453,0,1,0,0,0,0,471,Jeep_Grand Cherokee
436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,,0,2,,59900,11980,5990,41930,1997,1,4638,1,0,1,0,0,0,475,BMW_X5
189,36,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,,1,3,YES,79560,13260,13260,53040,2009,0,2848,1,0,0,0,0,0,459,Ford_Escape
105,33,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,,70290,12780,6390,51120,2008,0,6798,0,0,1,0,0,0,476,Accura_MDX
163,31,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,63910,5810,11620,46480,1999,0,4664,0,0,0,0,0,1,460,Suburu_Forrestor
219,40,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,,Trivial Damage,UNKNOWN,SC,Riverwood,6,1,,1,0,NO,6400,640,640,5120,1997,0,3014,1,1,0,0,0,0,452,Toyota_Camry
88,25,IN,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,66780,7420,7420,51940,2013,1,2668,0,0,0,0,0,0,613,Ford_Escape
40,39,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,,8760,1460,1460,5840,2013,0,5058,0,1,0,0,0,0,605,BMW_3 Series
284,42,OH,100/300,500,1338.54,1000000,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,,94160,8560,17120,68480,1996,0,7210,0,0,1,0,0,0,438,Chevrolet_Malibu
